date,rainfall_mm,depth_to_groundwater_m,temperature_C,drainage_m3,river_hydrometry_m
29/07/2006,,-23.76,,,
30/07/2006,,-23.66,,,
31/07/2006,,-23.69,,,
01/08/2006,,-23.83,,,
02/08/2006,,-23.78,,,
03/08/2006,,-23.73,,,
04/08/2006,,-23.57,,,
05/08/2006,,-23.57,,,
06/08/2006,,-23.42,,,
07/08/2006,,-23.42,,,
08/08/2006,,-23.53,,,
09/08/2006,,-23.58,,,
10/08/2006,,-23.64,,,
11/08/2006,,-23.68,,,
12/08/2006,,-23.61,,,
13/08/2006,,-23.58,,,
14/08/2006,,-23.6,,,
15/08/2006,,-23.48,,,
16/08/2006,,-23.53,,,
17/08/2006,,-23.6,,,
18/08/2006,,-23.63,,,
19/08/2006,,-23.65,,,
20/08/2006,,-23.69,,,
21/08/2006,,-23.7,,,
22/08/2006,,-23.7,,,
23/08/2006,,-23.79,,,
24/08/2006,,-23.81,,,
25/08/2006,,-23.78,,,
26/08/2006,,-23.74,,,
27/08/2006,,-23.66,,,
28/08/2006,,-23.68,,,
29/08/2006,,-23.69,,,
30/08/2006,,-23.77,,,
31/08/2006,,-23.9,,,
01/09/2006,,-23.96,,,
02/09/2006,,-23.93,,,
03/09/2006,,-23.95,,,
04/09/2006,,-23.99,,,
05/09/2006,,-24.04,,,
06/09/2006,,-24.04,,,
07/09/2006,,-24.07,,,
08/09/2006,,-24.14,,,
09/09/2006,,-24.25,,,
10/09/2006,,-24.25,,,
11/09/2006,,-24.27,,,
12/09/2006,,-24.33,,,
13/09/2006,,-24.28,,,
14/09/2006,,-24.25,,,
15/09/2006,,-24.11,,,
16/09/2006,,-24.08,,,
17/09/2006,,-24.03,,,
18/09/2006,,-24.05,,,
19/09/2006,,-24.08,,,
20/09/2006,,-24.14,,,
21/09/2006,,-24.19,,,
22/09/2006,,-24.19,,,
23/09/2006,,-24.21,,,
24/09/2006,,-24.21,,,
25/09/2006,,-24.15,,,
26/09/2006,,-24.06,,,
27/09/2006,,-24.12,,-29281.824,
28/09/2006,,-24.18,,-29245.536,
29/09/2006,,-24.22,,-29355.264,
30/09/2006,,-24.28,,-30174.336,
01/10/2006,,-24.27,,-28530.144,
02/10/2006,,-24.27,,-31053.888,
03/10/2006,,-24.33,,-35088.768,
04/10/2006,,-24.35,,-34622.208,
05/10/2006,,-24.44,,-35411.904,
06/10/2006,,-24.52,,-36362.304,
07/10/2006,,-24.52,,-35930.304,
08/10/2006,,-24.55,,-34896.096,
09/10/2006,,-24.56,,-35043.84,
10/10/2006,,-24.6,,-36046.08,
11/10/2006,,-24.63,,-37294.56,
12/10/2006,,-24.69,,-36014.112,
13/10/2006,,-24.75,,-36685.44,
14/10/2006,,-24.73,,-34574.688,
15/10/2006,,-24.66,,-32152.032,
16/10/2006,,-24.63,,-32260.032,
17/10/2006,,-24.7,,-32841.504,
18/10/2006,,-24.69,,-34092.576,
19/10/2006,,-24.7,,-34353.504,
20/10/2006,,-24.66,,-33708.096,
21/10/2006,,-24.71,,-33847.2,
22/10/2006,,-24.69,,-31497.12,
23/10/2006,,-24.7,,-32506.272,
24/10/2006,,-24.72,,-34184.16,
25/10/2006,,-24.87,,-35990.784,
26/10/2006,,-24.97,,-36101.376,
27/10/2006,,-25.07,,-33561.216,
28/10/2006,,-25.0,,-32044.896,
29/10/2006,,-24.86,,-28252.8,
30/10/2006,,-24.89,,-32485.536,
31/10/2006,,-24.93,,-32325.696,
01/11/2006,,-24.75,,-26437.536,
02/11/2006,,-24.72,,-28599.264,
03/11/2006,,-24.81,,-31152.384,
04/11/2006,,-24.86,,-32028.48,
05/11/2006,,-24.84,,-29277.504,
06/11/2006,,-24.77,,-30906.144,
07/11/2006,,-24.96,,-31102.272,
08/11/2006,,-25.06,,-34953.12,
09/11/2006,,-25.08,,-36268.992,
10/11/2006,,-25.1,,-35504.352,
11/11/2006,,-25.18,,-37051.776,
12/11/2006,,-25.09,,-35644.32,
13/11/2006,,-25.13,,-35838.72,
14/11/2006,,-25.25,,-36698.4,
15/11/2006,,-25.29,,-35770.464,
16/11/2006,,-25.3,,-36542.016,
17/11/2006,,-25.3,,-36326.016,
18/11/2006,,-25.31,,-36258.624,
19/11/2006,,-25.34,,-34674.048,
20/11/2006,,-25.29,,-34369.056,
21/11/2006,,-25.25,,-35643.456,
22/11/2006,,-25.24,,-38132.64,
23/11/2006,,-25.36,,-36439.2,
24/11/2006,,-25.46,,-35284.896,
25/11/2006,,-25.46,,-35558.784,
26/11/2006,,-25.46,,-32540.832,
27/11/2006,,-25.48,,-34675.776,
28/11/2006,,-25.47,,-33997.536,
29/11/2006,,-25.46,,-33408.288,
30/11/2006,,-25.46,,-34280.064,
01/12/2006,,-25.54,,-34942.752,
02/12/2006,,-25.54,,-35456.832,
03/12/2006,,-25.49,,-32309.28,
04/12/2006,,-25.46,,-35552.736,
05/12/2006,,-25.52,,-35501.76,
06/12/2006,,-25.47,,-31805.568,
07/12/2006,,-25.43,,-31427.136,
08/12/2006,,-25.51,,-32994.432,
09/12/2006,,-25.49,,-33015.168,
10/12/2006,,-25.65,,-33683.04,
11/12/2006,,-25.67,,-30362.688,
12/12/2006,,-25.73,,-35336.736,
13/12/2006,,-25.74,,-34569.504,
14/12/2006,,-25.75,,-34235.136,
15/12/2006,,-25.9,,-40199.328,
16/12/2006,,-25.83,,-35267.616,
17/12/2006,,-25.72,,-31152.384,
18/12/2006,,-25.62,,-33921.504,
19/12/2006,,-25.85,,-37044.0,
20/12/2006,,-25.97,,-35570.016,
21/12/2006,,-25.9,,-25617.6,
22/12/2006,,-25.87,,-31300.128,
23/12/2006,,-25.95,,-34531.488,
24/12/2006,,-25.98,,-35750.592,
25/12/2006,,-25.91,,-30097.44,
26/12/2006,,-25.93,,-30768.768,
27/12/2006,,-25.96,,-32247.936,
28/12/2006,,-25.97,,-32164.128,
29/12/2006,,-25.98,,-33124.896,
30/12/2006,,-26.02,,-32341.248,
31/12/2006,,-26.06,,-35494.848,
01/01/2007,,-25.95,,-29918.592,
02/01/2007,,-25.9,,-32521.824,
03/01/2007,,-26.01,,-34554.816,
04/01/2007,,-26.09,,-34880.544,
05/01/2007,,-26.07,,-36436.608,
06/01/2007,,-26.19,,-35028.288,
07/01/2007,,-26.14,,-33429.024,
08/01/2007,,-26.11,,-34540.992,
09/01/2007,,-26.16,,-34165.152,
10/01/2007,,-26.24,,-34490.88,
11/01/2007,,-26.22,,-34595.424,
12/01/2007,,-26.19,,-35424.0,
13/01/2007,,-26.32,,-36453.024,
14/01/2007,,-26.3,,-33656.256,
15/01/2007,,-26.3,,-36366.624,
16/01/2007,,-26.39,,-36903.168,
17/01/2007,,-26.34,,-35727.264,
18/01/2007,,-26.36,,-36482.4,
19/01/2007,,-26.29,,-40015.296,
20/01/2007,,-26.39,,-38092.896,
21/01/2007,,-26.41,,-36384.768,
22/01/2007,,-26.43,,-38975.04,
23/01/2007,,-26.38,,-37120.896,
24/01/2007,,-26.38,,-37022.4,
25/01/2007,,-26.47,,-36322.56,
26/01/2007,,-26.55,,-36234.432,
27/01/2007,,-26.52,,-35701.344,
28/01/2007,,-26.59,,-34113.312,
29/01/2007,,-26.52,,-36541.152,
30/01/2007,,-26.55,,-35766.144,
31/01/2007,,-26.61,,-36344.16,
01/02/2007,,-26.62,,-34800.192,
02/02/2007,,-26.7,,-36872.064,
03/02/2007,,-26.69,,-36655.2,
04/02/2007,,-26.73,,-36416.736,
05/02/2007,,-26.71,,-35653.824,
06/02/2007,,-26.66,,-36718.272,
07/02/2007,,-26.66,,-36063.36,
08/02/2007,,-26.69,,-35802.432,
09/02/2007,,-26.7,,-33802.272,
10/02/2007,,-26.69,,-34944.48,
11/02/2007,,-26.75,,-33225.984,
12/02/2007,,-26.67,,-32316.192,
13/02/2007,,-26.67,,-31326.048,
14/02/2007,,-26.73,,-30889.728,
15/02/2007,,-26.67,,-29992.032,
16/02/2007,,-26.71,,-32657.472,
17/02/2007,,-26.7,,-31525.632,
18/02/2007,,-26.63,,-28622.592,
19/02/2007,,-26.59,,-29685.312,
20/02/2007,,-26.6,,-30367.872,
21/02/2007,,-26.65,,-30769.632,
22/02/2007,,-26.64,,-31637.952,
23/02/2007,,-26.62,,-29810.592,
24/02/2007,,-26.62,,-31278.528,
25/02/2007,,-26.55,,-27949.536,
26/02/2007,,-26.52,,-28359.072,
27/02/2007,,-26.59,,-29687.04,
28/02/2007,,-26.59,,-30112.992,
01/03/2007,,-26.51,,-27492.48,
02/03/2007,,-26.51,,-29522.88,
03/03/2007,,-26.51,,-28622.592,
04/03/2007,,-26.5,,-26865.216,
05/03/2007,,-26.52,,-28163.808,
06/03/2007,,-26.48,,-27716.256,
07/03/2007,,-26.4,,-29385.504,
08/03/2007,,-26.39,,-27725.76,
09/03/2007,,-26.47,,-30143.232,
10/03/2007,,-26.43,,-28765.152,
11/03/2007,,-26.36,,-25507.008,
12/03/2007,,-26.34,,-26793.504,
13/03/2007,,-26.36,,-29398.464,
14/03/2007,,-26.36,,-28963.008,
15/03/2007,,-26.33,,-28033.344,
16/03/2007,,-26.35,,-30031.776,
17/03/2007,,-26.35,,-29922.912,
18/03/2007,,-26.25,,-27132.192,
19/03/2007,,-26.05,,-25995.168,
20/03/2007,,-26.01,,-27603.072,
21/03/2007,,-26.12,,-28026.432,
22/03/2007,,-26.13,,-26901.504,
23/03/2007,,-26.12,,-27954.72,
24/03/2007,,-26.1,,-27415.584,
25/03/2007,,-26.11,,-26860.032,
26/03/2007,,-26.14,,-29220.48,
27/03/2007,,-26.14,,-28505.952,
28/03/2007,,-26.17,,-30513.024,
29/03/2007,,-26.15,,-30576.096,
30/03/2007,,-26.14,,-31536.864,
31/03/2007,,-26.21,,-31280.256,
01/04/2007,,-26.25,,-29652.48,
02/04/2007,,-26.18,,-29541.024,
03/04/2007,,-26.12,,-30836.16,
04/04/2007,,-26.05,,-28417.824,
05/04/2007,,-26.1,,-28100.736,
06/04/2007,,-26.13,,-28364.256,
07/04/2007,,-26.14,,-30060.288,
08/04/2007,,-25.99,,-23114.592,
09/04/2007,,-25.92,,-23787.648,
10/04/2007,,-26.01,,-29979.072,
11/04/2007,,-26.1,,-30621.024,
12/04/2007,,-26.09,,-29146.176,
13/04/2007,,-26.05,,-30813.696,
14/04/2007,,-26.14,,-33277.824,
15/04/2007,,-26.16,,-31517.856,
16/04/2007,,-26.16,,-32959.008,
17/04/2007,,-26.21,,-34862.4,
18/04/2007,,-26.22,,-33461.856,
19/04/2007,,-26.21,,-32997.888,
20/04/2007,,-26.24,,-33896.448,
21/04/2007,,-26.23,,-33245.856,
22/04/2007,,-26.33,,-35134.56,
23/04/2007,,-26.31,,-31624.128,
24/04/2007,,-26.26,,-31544.64,
25/04/2007,,-26.15,,-30688.416,
26/04/2007,,-26.15,,-29063.232,
27/04/2007,,-26.16,,-30014.496,
28/04/2007,,-26.24,,-31395.168,
29/04/2007,,-26.16,,-28725.408,
30/04/2007,,-26.02,,-24990.336,
01/05/2007,,-25.81,,-21556.8,
02/05/2007,,-25.77,,-22156.416,
03/05/2007,,-25.75,,-23928.48,
04/05/2007,,-25.72,,-23941.44,
05/05/2007,,-25.75,,-27178.848,
06/05/2007,,-25.73,,-24061.536,
07/05/2007,,-25.72,,-24287.904,
08/05/2007,,-25.8,,-27949.536,
09/05/2007,,-25.83,,0.0,
10/05/2007,,-25.75,,-29336.256,
11/05/2007,,-25.77,,-30326.4,
12/05/2007,,-25.81,,-30827.52,
13/05/2007,,-25.84,,-30036.96,
14/05/2007,,-25.9,,-31434.912,
15/05/2007,,-25.99,,-31769.28,
16/05/2007,,-25.88,,-30125.088,
17/05/2007,,-25.82,,-30066.336,
18/05/2007,,-25.92,,-30408.48,
19/05/2007,,-26.01,,-30626.208,
20/05/2007,,-26.04,,-30881.952,
21/05/2007,,,,-31250.88,
22/05/2007,,-26.18,,-35080.992,
23/05/2007,,-26.3,,-37567.584,
24/05/2007,,-26.24,,-32889.888,
25/05/2007,,-26.36,,-38695.104,
26/05/2007,,-26.36,,-36612.864,
27/05/2007,,-26.3,,-31383.936,
28/05/2007,,-26.03,,-28043.712,
29/05/2007,,-26.02,,-28533.6,
30/05/2007,,-26.06,,-28885.248,
31/05/2007,,-26.12,,-31883.328,
01/06/2007,,-26.13,,-32290.272,
02/06/2007,,-26.2,,-34572.096,
03/06/2007,,-26.08,,-28444.608,
04/06/2007,,-26.08,,-28864.512,
05/06/2007,,-26.27,,0.0,
06/06/2007,,-26.21,,0.0,
07/06/2007,,-26.22,,-32901.984,
08/06/2007,,-26.2,,-32850.144,
09/06/2007,,-26.3,,-34171.2,
10/06/2007,,-26.26,,-32818.176,
11/06/2007,,-26.29,,-33683.04,
12/06/2007,,-26.36,,-36167.904,
13/06/2007,,-26.36,,-34242.912,
14/06/2007,,-26.43,,-37065.6,
15/06/2007,,-26.45,,-36079.776,
16/06/2007,,-26.48,,-36095.328,
17/06/2007,,-26.38,,-32491.584,
18/06/2007,,-26.44,,-34704.288,
19/06/2007,,-26.65,,-41071.104,
20/06/2007,,-26.73,,-39565.152,
21/06/2007,,-26.78,,-38476.512,
22/06/2007,,-26.84,,-39807.072,
23/06/2007,,-26.85,,-37984.032,
24/06/2007,,-26.86,,-35450.784,
25/06/2007,,-26.87,,-37662.624,
26/06/2007,,-26.98,,-39749.184,
27/06/2007,,-27.0,,-36766.656,
28/06/2007,,-27.12,,-38814.336,
29/06/2007,,-27.18,,-39105.504,
30/06/2007,,-27.15,,-38119.68,
01/07/2007,,-27.14,,-38143.008,
02/07/2007,,-27.13,,-35847.36,
03/07/2007,,-27.21,,-39577.248,
04/07/2007,,-27.2,,-38044.512,
05/07/2007,,-27.26,,-38047.104,
06/07/2007,,-27.38,,-42865.632,
07/07/2007,,-27.49,,-43673.472,
08/07/2007,,-27.48,,-40254.624,
09/07/2007,,-27.49,,-41400.288,
10/07/2007,,-27.54,,-42794.784,
11/07/2007,,-27.68,,-43781.472,
12/07/2007,,-27.77,,-42886.368,
13/07/2007,,-27.84,,-43647.552,
14/07/2007,,-27.9,,-45109.44,
15/07/2007,,-27.93,,-45178.56,
16/07/2007,,-27.95,,-43839.36,
17/07/2007,,-28.04,,-43152.48,
18/07/2007,,-28.11,,-43166.304,
19/07/2007,,-28.12,,-41751.072,
20/07/2007,,-28.13,,-42035.328,
21/07/2007,,-28.24,,-45544.896,
22/07/2007,,-28.27,,-43257.024,
23/07/2007,,-28.24,,-41803.776,
24/07/2007,,-28.29,,-43341.696,
25/07/2007,,-28.39,,-43208.64,
26/07/2007,,-28.45,,-43253.568,
27/07/2007,,-28.52,,-43116.192,
28/07/2007,,-28.56,,-43672.608,
29/07/2007,,-28.56,,-42472.512,
30/07/2007,,-28.56,,-42325.632,
31/07/2007,,-28.65,,-37648.8,
01/08/2007,,-28.82,,-35405.856,
02/08/2007,,-28.78,,-34693.056,
03/08/2007,,-28.84,,-35688.384,
04/08/2007,,-28.77,,-30425.76,
05/08/2007,,-28.79,,-31135.968,
06/08/2007,,-28.79,,-32875.2,
07/08/2007,,-28.84,,-32011.2,
08/08/2007,,-28.91,,-33900.768,
09/08/2007,,-28.87,,-29080.512,
10/08/2007,,-28.79,,-27972.0,
11/08/2007,,-28.73,,-25317.792,
12/08/2007,,-28.68,,-25445.664,
13/08/2007,,-28.74,,-27330.048,
14/08/2007,,-28.81,,-30163.104,
15/08/2007,,-28.8,,-26843.616,
16/08/2007,,-28.79,,-30419.712,
17/08/2007,,-28.92,,-32685.12,
18/08/2007,,-28.94,,-31510.08,
19/08/2007,,-28.94,,-30170.016,
20/08/2007,,-28.92,,-30375.648,
21/08/2007,,-28.93,,-30267.648,
22/08/2007,,-28.93,,-29846.016,
23/08/2007,,-28.98,,-28888.704,
24/08/2007,,-28.97,,-29209.248,
25/08/2007,,-29.0,,-29617.056,
26/08/2007,,-28.98,,-29710.368,
27/08/2007,,-29.01,,-31604.256,
28/08/2007,,-29.09,,-34421.76,
29/08/2007,,-29.14,,-33451.488,
30/08/2007,,-29.17,,0.0,
31/08/2007,,-29.24,,-34460.64,
01/09/2007,,-29.26,,-33034.176,
02/09/2007,,-29.25,,-30994.272,
03/09/2007,,-29.23,,-32694.624,
04/09/2007,,-29.26,,-33352.992,
05/09/2007,,-29.3,,-32996.16,
06/09/2007,,-29.33,,-33530.112,
07/09/2007,,-29.32,,-33468.768,
08/09/2007,,-29.37,,-33955.2,
09/09/2007,,-29.35,,-30301.344,
10/09/2007,,-29.37,,-32065.632,
11/09/2007,,-29.43,,-34157.376,
12/09/2007,,-29.53,,-34019.136,
13/09/2007,,-29.57,,-33843.744,
14/09/2007,,-29.57,,-33275.232,
15/09/2007,,-29.59,,-32894.208,
16/09/2007,,-29.61,,-32742.144,
17/09/2007,,-29.62,,-33784.992,
18/09/2007,,-29.62,,-34278.336,
19/09/2007,,-29.69,,-33996.672,
20/09/2007,,-29.76,,-33943.968,
21/09/2007,,-29.77,,-34121.952,
22/09/2007,,-29.81,,-34262.784,
23/09/2007,,-29.77,,-31719.168,
24/09/2007,,-29.76,,-32487.264,
25/09/2007,,-29.79,,-34102.944,
26/09/2007,,-29.8,,-32992.704,
27/09/2007,,-29.75,,-30062.016,
28/09/2007,,-29.75,,-27545.184,
29/09/2007,,-29.75,,-27381.888,
30/09/2007,,-29.78,,-25381.728,
01/10/2007,,-29.76,,-25856.928,
02/10/2007,,-29.74,,-26935.2,
03/10/2007,,-29.81,,-30437.856,
04/10/2007,,-29.85,,-29384.64,
05/10/2007,,-29.82,,-29975.616,
06/10/2007,,-29.83,,-31394.304,
07/10/2007,,-29.76,,-25560.576,
08/10/2007,,-29.78,,-28189.728,
09/10/2007,,-29.85,,-31645.728,
10/10/2007,,-29.87,,-31603.392,
11/10/2007,,-29.91,,-31036.608,
12/10/2007,,-29.91,,-32637.6,
13/10/2007,,-29.96,,-31909.248,
14/10/2007,,-29.96,,-31072.032,
15/10/2007,,-29.99,,-31389.12,
16/10/2007,,-30.03,,-32151.168,
17/10/2007,,-29.99,,-29205.792,
18/10/2007,,-29.98,,-29630.016,
19/10/2007,,-30.01,,-29012.256,
20/10/2007,,-30.02,,-28634.688,
21/10/2007,,-29.94,,-26954.208,
22/10/2007,,-29.8,,-24395.904,
23/10/2007,,-29.94,,-28951.776,
24/10/2007,,-29.97,,-26878.176,
25/10/2007,,-29.9,,-24052.896,
26/10/2007,,-29.87,,-25964.064,
27/10/2007,,-29.93,,-29395.872,
28/10/2007,,-29.9,,-26391.744,
29/10/2007,,-29.85,,-28771.2,
30/10/2007,,-29.79,,-27693.792,
31/10/2007,,-29.95,,-29917.728,
01/11/2007,,-30.0,,-28582.848,
02/11/2007,,-30.05,,-27927.936,
03/11/2007,,-29.99,,-29395.872,
04/11/2007,,-29.96,,-28092.96,
05/11/2007,,-29.99,,-26192.16,
06/11/2007,,-30.01,,-25100.928,
07/11/2007,,-30.04,,-26824.608,
08/11/2007,,-30.03,,-25854.336,
09/11/2007,,-30.0,,-26344.224,
10/11/2007,,-30.08,,-26704.512,
11/11/2007,,-30.04,,-25163.136,
12/11/2007,,-30.04,,-26580.096,
13/11/2007,,-30.07,,-27563.328,
14/11/2007,,-30.01,,-26901.504,
15/11/2007,,-30.07,,-25591.68,
16/11/2007,,-30.11,,-27997.92,
17/11/2007,,-30.11,,-28142.208,
18/11/2007,,-30.06,,-25907.904,
19/11/2007,,-30.11,,-25524.288,
20/11/2007,,-30.16,,-28124.064,
21/11/2007,,-30.17,,-29548.8,
22/11/2007,,-30.1,,-27698.112,
23/11/2007,,-30.12,,-28803.168,
24/11/2007,,-30.16,,-27015.552,
25/11/2007,,-30.18,,-25819.776,
26/11/2007,,-30.16,,-24577.344,
27/11/2007,,-30.22,,-26974.08,
28/11/2007,,-30.2,,-26575.776,
29/11/2007,,-30.2,,-26834.112,
30/11/2007,,-30.21,,-27224.64,
01/12/2007,,-30.31,,-28198.368,
02/12/2007,,-30.3,,-27069.984,
03/12/2007,,-30.21,,-26630.208,
04/12/2007,,-30.3,,-27602.208,
05/12/2007,,-30.4,,-28727.136,
06/12/2007,,-30.44,,-28148.256,
07/12/2007,,-30.29,,-26102.304,
08/12/2007,,-30.25,,-24485.76,
09/12/2007,,-30.27,,-23082.624,
10/12/2007,,-30.26,,-22860.576,
11/12/2007,,-30.33,,-26866.944,
12/12/2007,,-30.32,,-22966.848,
13/12/2007,,-30.31,,-20614.176,
14/12/2007,,-30.26,,-22826.88,
15/12/2007,,-30.28,,-24585.984,
16/12/2007,,-30.29,,-25292.736,
17/12/2007,,-30.32,,-26863.488,
18/12/2007,,-30.35,,-24968.736,
19/12/2007,,,,-25753.248,
20/12/2007,,-30.4,,-25832.736,
21/12/2007,,-30.43,,-26974.944,
22/12/2007,,-30.41,,-26355.456,
23/12/2007,,-30.34,,-24848.64,
24/12/2007,,-30.36,,-24674.112,
25/12/2007,,-30.33,,-21133.44,
26/12/2007,,-30.31,,-20656.512,
27/12/2007,,-30.36,,-24661.152,
28/12/2007,,-30.39,,-24052.032,
29/12/2007,,-30.4,,-25951.104,
30/12/2007,,-30.37,,-24157.44,
31/12/2007,,-30.37,,-26472.096,
01/01/2008,,-30.45,,-26686.368,
02/01/2008,,-30.42,,-24223.968,
03/01/2008,,-30.39,,-23472.288,
04/01/2008,,-30.43,,-25160.544,
05/01/2008,,-30.48,,-25570.944,
06/01/2008,,-30.45,,-23468.832,
07/01/2008,,-30.46,,-25139.808,
08/01/2008,,-30.51,,-25766.208,
09/01/2008,,-30.55,,-26551.584,
10/01/2008,,-30.53,,-24751.008,
11/01/2008,,-30.5,,-23588.064,
12/01/2008,,-30.45,,-22644.576,
13/01/2008,,-30.49,,-21971.52,
14/01/2008,,-30.5,,-22060.512,
15/01/2008,,-30.47,,-21746.016,
16/01/2008,,-30.39,,-27013.824,
17/01/2008,,-30.38,,-31002.912,
18/01/2008,,-30.51,,-32270.4,
19/01/2008,,-30.54,,-32045.76,
20/01/2008,,-30.48,,-29562.624,
21/01/2008,,-30.42,,-30087.936,
22/01/2008,,-30.35,,-30325.536,
23/01/2008,,-30.47,,-31485.024,
24/01/2008,,-30.51,,-33157.728,
25/01/2008,,-30.52,,-33390.144,
26/01/2008,,-30.6,,-37136.448,
27/01/2008,,-30.63,,-35132.832,
28/01/2008,,-30.53,,-31017.6,
29/01/2008,,-30.54,,-32118.336,
30/01/2008,,-30.52,,-32158.944,
31/01/2008,,-30.5,,-31620.672,
01/02/2008,,-30.54,,-34483.104,
02/02/2008,,-30.55,,-32589.216,
03/02/2008,,-30.58,,-31182.624,
04/02/2008,,-30.51,,-31523.04,
05/02/2008,,-30.57,,-32152.896,
06/02/2008,,-30.62,,-32708.448,
07/02/2008,,-30.59,,-31681.152,
08/02/2008,,-30.61,,-32560.704,
09/02/2008,,-30.61,,-32837.184,
10/02/2008,,-30.6,,-33016.896,
11/02/2008,,-30.6,,-32212.512,
12/02/2008,,-30.58,,-30814.56,
13/02/2008,,-30.63,,-32861.376,
14/02/2008,,-30.67,,-34078.752,
15/02/2008,,-30.63,,-33285.6,
16/02/2008,,-30.7,,-34407.072,
17/02/2008,,-30.66,,-29200.608,
18/02/2008,,-30.65,,-31808.16,
19/02/2008,,-30.67,,-33585.408,
20/02/2008,,-30.67,,-33143.904,
21/02/2008,,-30.68,,-33026.4,
